space, t=0.000000, t=0.100000, t=0.200000, t=0.300000, t=0.400000, t=0.500000, t=0.600000, t=0.700000, t=0.800000, t=0.900000, 
0.1415, 1, 0.603741, 0.00030188, 3.12317e-15, 7.02095e-31, 2.21474e-49, 8.37331e-70, 1.31226e-91, 1.86381e-114, 4.05541e-138, 
0.1425, 1, 0.604075, 0.000368912, 4.89047e-15, 1.34503e-30, 5.02041e-49, 2.19242e-69, 3.89752e-91, 6.19142e-114, 1.48989e-137, 
0.1435, 1, 0.604358, 0.000449069, 7.62175e-15, 2.56345e-30, 1.13185e-48, 5.70807e-69, 1.15087e-90, 2.04453e-113, 5.44057e-137, 
0.1445, 1, 0.604597, 0.000544533, 1.1823e-14, 4.86068e-30, 2.53797e-48, 1.47779e-68, 3.37871e-90, 6.71169e-113, 1.97481e-136, 
0.1455, 1, 0.604797, 0.000657774, 1.82552e-14, 9.16997e-30, 5.66054e-48, 3.80469e-68, 9.8625e-90, 2.19041e-112, 7.1255e-136, 
0.1465, 1, 0.604966, 0.000791568, 2.80578e-14, 1.7213e-29, 1.2558e-47, 9.74145e-68, 2.86255e-89, 7.10713e-112, 2.55586e-135, 
0.1475, 1, 0.605106, 0.000949027, 4.29283e-14, 3.215e-29, 2.77136e-47, 2.48055e-67, 8.26171e-89, 2.29276e-111, 9.11405e-135, 
0.1485, 1, 0.605224, 0.00113362, 6.53848e-14, 5.97533e-29, 6.0841e-47, 6.28218e-67, 2.37113e-88, 7.35424e-111, 3.23114e-134, 
0.1495, 1, 0.605322, 0.00134917, 9.9145e-14, 1.10514e-28, 1.32876e-46, 1.58245e-66, 6.76753e-88, 2.34559e-110, 1.13891e-133, 
0.1505, 1, 0.605403, 0.00159994, 1.49673e-13, 2.03405e-28, 2.88713e-46, 3.96486e-66, 1.92094e-87, 7.43906e-110, 3.99149e-133, 
